strategy,source_pdf,evidence_recall@1,page_hit@1,evidence_recall@3,page_hit@3,evidence_recall@5,page_hit@5,evidence_recall@8,page_hit@8,evidence_mrr,budgeted_evidence_recall@1,budgeted_page_hit@1,budgeted_evidence_recall@3,budgeted_page_hit@3,budgeted_evidence_recall@5,budgeted_page_hit@5,budgeted_evidence_recall@8,budgeted_page_hit@8,budgeted_evidence_mrr,anchor_evidence_recall@5,items
hybrid_rrf_mq,AASM Scoring Version 3_searchable.pdf,0.3302325581395349,0.386046511627907,0.5590697674418604,0.641860465116279,0.6651162790697674,0.7302325581395349,0.772093023255814,0.8465116279069768,0.46836101882613507,0.3302325581395349,0.386046511627907,0.5590697674418604,0.641860465116279,0.6651162790697674,0.7302325581395349,0.772093023255814,0.8465116279069768,0.46836101882613507,0.6651162790697674,215
hybrid_rrf_mq,ICSD-3-TR_2023_searchable.pdf,0.3983333333333333,0.509,0.6068333333333333,0.708,0.6908333333333334,0.787,0.7806333333333333,0.864,0.5334,0.3983333333333333,0.509,0.6068333333333333,0.708,0.6908333333333334,0.787,0.7806333333333333,0.864,0.5334,0.6908333333333334,1000
hybrid_rrf_no_terms,AASM Scoring Version 3_searchable.pdf,0.4945736434108527,0.5302325581395348,0.7271317829457364,0.772093023255814,0.7829457364341086,0.8465116279069768,0.8325581395348837,0.8790697674418605,0.6272369878183831,0.4945736434108527,0.5302325581395348,0.7271317829457364,0.772093023255814,0.7829457364341086,0.8465116279069768,0.8325581395348837,0.8790697674418605,0.6272369878183831,0.7829457364341086,215
hybrid_rrf_no_terms,ICSD-3-TR_2023_searchable.pdf,0.5598333333333334,0.643,0.7423333333333334,0.798,0.7978333333333334,0.856,0.8504333333333333,0.904,0.6741666666666666,0.5598333333333334,0.643,0.7423333333333334,0.798,0.7978333333333334,0.856,0.8504333333333333,0.904,0.6741666666666666,0.7978333333333334,1000
hybrid_rrf_rerank,AASM Scoring Version 3_searchable.pdf,0.6,0.6511627906976745,0.7953488372093023,0.8465116279069768,0.8465116279069768,0.9116279069767442,0.8976744186046511,0.958139534883721,0.7132281284606866,0.6,0.6511627906976745,0.7953488372093023,0.8465116279069768,0.8465116279069768,0.9116279069767442,0.8976744186046511,0.958139534883721,0.7132281284606866,0.8465116279069768,215
hybrid_rrf_rerank,ICSD-3-TR_2023_searchable.pdf,0.32963333333333333,0.392,0.4983,0.578,0.5966333333333333,0.68,0.7045666666666667,0.791,0.4518809523809523,0.32963333333333333,0.392,0.4983,0.578,0.5966333333333333,0.68,0.7045666666666667,0.791,0.4518809523809523,0.5966333333333333,1000
hybrid_rrf_rerank_jiwar,AASM Scoring Version 3_searchable.pdf,0.6302325581395349,0.6651162790697674,0.8255813953488372,0.8883720930232558,0.8534883720930233,0.9162790697674419,0.8534883720930233,0.9162790697674419,0.7251162790697675,0.6302325581395349,0.6651162790697674,0.8255813953488372,0.8883720930232558,0.8534883720930233,0.9162790697674419,0.8534883720930233,0.9162790697674419,0.7251162790697675,0.8465116279069768,215
hybrid_rrf_rerank_jiwar,ICSD-3-TR_2023_searchable.pdf,0.3701666666666667,0.402,0.5415,0.595,0.603,0.661,0.6175,0.673,0.47013809523809524,0.3701666666666667,0.402,0.5415,0.595,0.603,0.661,0.6175,0.673,0.47013809523809524,0.5966333333333333,1000
hybrid_rrf_rerank_mq,AASM Scoring Version 3_searchable.pdf,0.5953488372093023,0.6465116279069767,0.8046511627906977,0.8558139534883721,0.8511627906976744,0.9162790697674419,0.8976744186046511,0.9534883720930233,0.7130343300110742,0.5953488372093023,0.6465116279069767,0.8046511627906977,0.8558139534883721,0.8511627906976744,0.9162790697674419,0.8976744186046511,0.9534883720930233,0.7130343300110742,0.8511627906976744,215
hybrid_rrf_rerank_mq,ICSD-3-TR_2023_searchable.pdf,0.2936333333333333,0.345,0.4223,0.499,0.5237999999999999,0.602,0.6465666666666667,0.73,0.3984809523809524,0.2936333333333333,0.345,0.4223,0.499,0.5237999999999999,0.602,0.6465666666666667,0.73,0.3984809523809524,0.5237999999999999,1000
hybrid_rrf_rerank_mq_jiwar,AASM Scoring Version 3_searchable.pdf,0.6255813953488372,0.6604651162790698,0.8302325581395349,0.8930232558139535,0.858139534883721,0.9162790697674419,0.858139534883721,0.9162790697674419,0.7251162790697675,0.6255813953488372,0.6604651162790698,0.8302325581395349,0.8930232558139535,0.858139534883721,0.9162790697674419,0.858139534883721,0.9162790697674419,0.7251162790697675,0.8511627906976744,215
hybrid_rrf_rerank_mq_jiwar,ICSD-3-TR_2023_searchable.pdf,0.32766666666666666,0.354,0.468,0.514,0.5485,0.599,0.6035,0.659,0.42151428571428573,0.32766666666666666,0.354,0.468,0.514,0.5485,0.599,0.6035,0.659,0.42151428571428573,0.5237999999999999,1000
hybrid_rrf_rerank_mq_pageagg,AASM Scoring Version 3_searchable.pdf,0.586046511627907,0.6372093023255814,0.7581395348837209,0.8186046511627907,0.8046511627906977,0.8558139534883721,0.8286821705426356,0.8558139534883721,0.6855924695459579,0.586046511627907,0.6372093023255814,0.7581395348837209,0.8186046511627907,0.8046511627906977,0.8558139534883721,0.8286821705426356,0.8558139534883721,0.6855924695459579,0.8046511627906977,215
hybrid_rrf_rerank_mq_pageagg,ICSD-3-TR_2023_searchable.pdf,0.27763333333333334,0.33,0.4008,0.475,0.45263333333333333,0.482,0.46613333333333334,0.483,0.35131071428571425,0.27763333333333334,0.33,0.4008,0.475,0.45263333333333333,0.482,0.46613333333333334,0.483,0.35131071428571425,0.45263333333333333,1000
hybrid_rrf_rerank_pageagg,AASM Scoring Version 3_searchable.pdf,0.6,0.6511627906976745,0.7674418604651163,0.8186046511627907,0.8046511627906977,0.8604651162790697,0.8286821705426356,0.8604651162790697,0.6949723145071983,0.6,0.6511627906976745,0.7674418604651163,0.8186046511627907,0.8046511627906977,0.8604651162790697,0.8286821705426356,0.8604651162790697,0.6949723145071983,0.8046511627906977,215
hybrid_rrf_rerank_pageagg,ICSD-3-TR_2023_searchable.pdf,0.3168,0.379,0.4573,0.539,0.5134666666666667,0.551,0.5336333333333333,0.551,0.40591785714285716,0.3168,0.379,0.4573,0.539,0.5134666666666667,0.551,0.5336333333333333,0.551,0.40591785714285716,0.5134666666666667,1000
hybrid_rrf_rerank_pageagg_jiwar,AASM Scoring Version 3_searchable.pdf,0.6255813953488372,0.6604651162790698,0.7953488372093023,0.8558139534883721,0.8093023255813954,0.8604651162790697,0.813953488372093,0.8604651162790697,0.7089147286821705,0.6255813953488372,0.6604651162790698,0.7953488372093023,0.8558139534883721,0.8093023255813954,0.8604651162790697,0.813953488372093,0.8604651162790697,0.7089147286821705,0.8046511627906977,215
hybrid_rrf_rerank_pageagg_jiwar,ICSD-3-TR_2023_searchable.pdf,0.356,0.388,0.4963333333333333,0.555,0.5308333333333334,0.558,0.5318333333333334,0.558,0.43446666666666667,0.356,0.388,0.4963333333333333,0.555,0.5308333333333334,0.558,0.5318333333333334,0.558,0.43446666666666667,0.5134666666666667,1000
scope_bm25_only,AASM Scoring Version 3_searchable.pdf,0.4542635658914729,0.49767441860465117,0.6666666666666667,0.7302325581395349,0.7178294573643411,0.7813953488372093,0.7705426356589147,0.8186046511627907,0.5712901439645626,0.4542635658914729,0.49767441860465117,0.6666666666666667,0.7302325581395349,0.7178294573643411,0.7813953488372093,0.7705426356589147,0.8186046511627907,0.5712901439645626,0.7178294573643411,215
scope_bm25_only,ICSD-3-TR_2023_searchable.pdf,0.4846666666666667,0.558,0.6206666666666666,0.681,0.6926666666666667,0.752,0.7441666666666666,0.806,0.5795380952380953,0.4846666666666667,0.558,0.6206666666666666,0.681,0.6926666666666667,0.752,0.7441666666666666,0.806,0.5795380952380953,0.6926666666666667,1000
scope_dense_only,AASM Scoring Version 3_searchable.pdf,0.5131782945736434,0.5674418604651162,0.7395348837209302,0.8,0.8046511627906977,0.8697674418604651,0.8596899224806202,0.9116279069767442,0.6406090808416389,0.5131782945736434,0.5674418604651162,0.7395348837209302,0.8,0.8046511627906977,0.8697674418604651,0.8596899224806202,0.9116279069767442,0.6406090808416389,0.8046511627906977,215
scope_dense_only,ICSD-3-TR_2023_searchable.pdf,0.5169333333333332,0.619,0.7243999999999999,0.798,0.8019,0.87,0.8559,0.905,0.6482357142857142,0.5169333333333332,0.619,0.7243999999999999,0.798,0.8019,0.87,0.8559,0.905,0.6482357142857142,0.8019,1000
scope_hybrid_rrf,AASM Scoring Version 3_searchable.pdf,0.4945736434108527,0.5348837209302325,0.7302325581395349,0.786046511627907,0.7875968992248062,0.8558139534883721,0.848062015503876,0.9023255813953488,0.6305647840531562,0.4945736434108527,0.5348837209302325,0.7302325581395349,0.786046511627907,0.7875968992248062,0.8558139534883721,0.848062015503876,0.9023255813953488,0.6305647840531562,0.7875968992248062,215
scope_hybrid_rrf,ICSD-3-TR_2023_searchable.pdf,0.5598333333333334,0.662,0.7418333333333333,0.804,0.8063333333333333,0.865,0.8382333333333334,0.897,0.6722416666666666,0.5598333333333334,0.662,0.7418333333333333,0.804,0.8063333333333333,0.865,0.8382333333333334,0.897,0.6722416666666666,0.8063333333333333,1000
scope_hybrid_rrf_rerank,AASM Scoring Version 3_searchable.pdf,0.6178294573643411,0.6651162790697674,0.827906976744186,0.8604651162790697,0.8930232558139535,0.9395348837209302,0.9255813953488372,0.9674418604651163,0.7351273532668882,0.6178294573643411,0.6651162790697674,0.827906976744186,0.8604651162790697,0.8930232558139535,0.9395348837209302,0.9255813953488372,0.9674418604651163,0.7351273532668882,0.8930232558139535,215
scope_hybrid_rrf_rerank,ICSD-3-TR_2023_searchable.pdf,0.5160666666666667,0.616,0.6979,0.786,0.7767333333333334,0.85,0.8435666666666667,0.9,0.6401107142857143,0.5160666666666667,0.616,0.6979,0.786,0.7767333333333334,0.85,0.8435666666666667,0.9,0.6401107142857143,0.7767333333333334,1000
scope_hybrid_rrf_rerank_jiwar,AASM Scoring Version 3_searchable.pdf,0.6395348837209303,0.6790697674418604,0.8627906976744186,0.8930232558139535,0.9,0.9302325581395349,0.9,0.9302325581395349,0.7511627906976744,0.6395348837209303,0.6790697674418604,0.8627906976744186,0.8930232558139535,0.9,0.9302325581395349,0.9,0.9302325581395349,0.7511627906976744,0.8930232558139535,215
scope_hybrid_rrf_rerank_jiwar,ICSD-3-TR_2023_searchable.pdf,0.5845,0.625,0.7593333333333334,0.802,0.8096666666666666,0.848,0.8116666666666666,0.848,0.6859,0.5845,0.625,0.7593333333333334,0.802,0.8096666666666666,0.848,0.8116666666666666,0.848,0.6859,0.7767333333333334,1000
scope_hybrid_rrf_rerank_mq,AASM Scoring Version 3_searchable.pdf,0.6178294573643411,0.6604651162790698,0.8325581395348837,0.8651162790697674,0.9069767441860465,0.9488372093023256,0.9302325581395349,0.9674418604651163,0.7372923588039867,0.6178294573643411,0.6604651162790698,0.8325581395348837,0.8651162790697674,0.9069767441860465,0.9488372093023256,0.9302325581395349,0.9674418604651163,0.7372923588039867,0.9069767441860465,215
scope_hybrid_rrf_rerank_mq,ICSD-3-TR_2023_searchable.pdf,0.5340666666666667,0.634,0.7074,0.795,0.7752333333333333,0.85,0.8420666666666667,0.908,0.6504130952380952,0.5340666666666667,0.634,0.7074,0.795,0.7752333333333333,0.85,0.8420666666666667,0.908,0.6504130952380952,0.7752333333333333,1000
scope_hybrid_rrf_rerank_mq_jiwar,AASM Scoring Version 3_searchable.pdf,0.6348837209302326,0.6744186046511628,0.8627906976744186,0.8976744186046511,0.9,0.9395348837209302,0.9,0.9395348837209302,0.748062015503876,0.6348837209302326,0.6744186046511628,0.8627906976744186,0.8976744186046511,0.9,0.9395348837209302,0.9,0.9395348837209302,0.748062015503876,0.9069767441860465,215
scope_hybrid_rrf_rerank_mq_jiwar,ICSD-3-TR_2023_searchable.pdf,0.6065,0.644,0.7658333333333334,0.812,0.8131666666666666,0.857,0.8131666666666666,0.859,0.6974333333333332,0.6065,0.644,0.7658333333333334,0.812,0.8131666666666666,0.857,0.8131666666666666,0.859,0.6974333333333332,0.7752333333333333,1000
scope_hybrid_rrf_rerank_mq_pageagg_jiwar,AASM Scoring Version 3_searchable.pdf,0.6348837209302326,0.6744186046511628,0.8488372093023255,0.8930232558139535,0.858139534883721,0.9023255813953488,0.8627906976744186,0.9023255813953488,0.7364341085271319,0.6348837209302326,0.6744186046511628,0.8488372093023255,0.8930232558139535,0.858139534883721,0.9023255813953488,0.8627906976744186,0.9023255813953488,0.7364341085271319,0.8604651162790697,215
scope_hybrid_rrf_rerank_mq_pageagg_jiwar,ICSD-3-TR_2023_searchable.pdf,0.586,0.63,0.7311666666666666,0.785,0.7586666666666666,0.798,0.7586666666666666,0.798,0.6670166666666667,0.586,0.63,0.7311666666666666,0.785,0.7586666666666666,0.798,0.7586666666666666,0.798,0.6670166666666667,0.7234666666666667,1000
scope_hybrid_rrf_rerank_pageagg_jiwar,AASM Scoring Version 3_searchable.pdf,0.6302325581395349,0.6651162790697674,0.8441860465116279,0.8790697674418605,0.8534883720930233,0.8883720930232558,0.858139534883721,0.8883720930232558,0.7325581395348837,0.6302325581395349,0.6651162790697674,0.8441860465116279,0.8790697674418605,0.8534883720930233,0.8883720930232558,0.858139534883721,0.8883720930232558,0.7325581395348837,0.8511627906976744,215
scope_hybrid_rrf_rerank_pageagg_jiwar,ICSD-3-TR_2023_searchable.pdf,0.5791666666666666,0.624,0.7331666666666666,0.777,0.7571666666666667,0.786,0.7571666666666667,0.787,0.66355,0.5791666666666666,0.624,0.7331666666666666,0.777,0.7571666666666667,0.786,0.7571666666666667,0.787,0.66355,0.7204666666666667,1000
