item_id,model_id,mode,NF4,BF16
clinical_astra_b02_005,google/gemma-3-12b-it,no_rag,0.0,0.0
clinical_astra_b02_005,google/gemma-3-27b-it,no_rag,0.0,0.0
clinical_astra_b02_005,google/gemma-4-12B-it,no_rag,0.0,0.0
clinical_astra_b02_005,meta-llama/Llama-3.1-8B-Instruct,no_rag,0.0,0.0
clinical_astra_b02_005,meta-llama/Llama-3.2-1B-Instruct,no_rag,0.0,0.0
clinical_astra_b02_005,microsoft/phi-4,no_rag,0.0,0.0
clinical_astra_b02_006,XHToken/Spark-X2.5-4B,no_rag,0.0,1.0
clinical_astra_b02_006,google/gemma-3-27b-it,no_rag,0.0,0.0
clinical_astra_b02_006,google/gemma-4-12B-it,no_rag,0.0,1.0
clinical_astra_b02_007,XHToken/Spark-X2.5-4B,no_rag,0.0,0.0
clinical_astra_b02_007,google/gemma-3-12b-it,no_rag,0.0,0.0
clinical_astra_b02_007,google/gemma-3-27b-it,no_rag,0.0,1.0
clinical_astra_b02_007,meta-llama/Llama-3.2-1B-Instruct,no_rag,0.0,0.0
clinical_astra_b02_008,XHToken/Spark-X2.5-4B,no_rag,0.0,0.0
clinical_astra_b02_008,google/gemma-3-12b-it,no_rag,1.0,1.0
clinical_astra_b02_008,google/gemma-3-27b-it,no_rag,1.0,1.0
clinical_astra_b02_008,google/gemma-4-12B-it,no_rag,1.0,1.0
clinical_astra_b02_008,meta-llama/Llama-3.1-8B-Instruct,no_rag,1.0,1.0
clinical_astra_b02_008,meta-llama/Llama-3.2-1B-Instruct,no_rag,0.0,0.0
clinical_astra_b02_008,microsoft/phi-4,no_rag,1.0,1.0
clinical_astra_b02_009,XHToken/Spark-X2.5-4B,no_rag,0.0,0.0
clinical_astra_b02_009,google/gemma-3-27b-it,no_rag,0.0,0.0
clinical_astra_b02_009,google/gemma-4-12B-it,no_rag,0.0,0.0
clinical_astra_b02_009,meta-llama/Llama-3.1-8B-Instruct,no_rag,0.0,0.0
clinical_astra_b02_009,meta-llama/Llama-3.2-1B-Instruct,no_rag,0.0,0.0
clinical_astra_b02_009,microsoft/phi-4,no_rag,0.0,0.0
clinical_astra_b02_010,Qwen/Qwen3.8-27B,no_rag,1.0,1.0
clinical_astra_b02_010,XHToken/Spark-X2.5-4B,no_rag,0.0,1.0
clinical_astra_b02_010,google/gemma-3-12b-it,no_rag,0.0,0.0
clinical_astra_b02_010,google/gemma-3-27b-it,no_rag,1.0,1.0
clinical_astra_b02_010,meta-llama/Llama-3.1-8B-Instruct,no_rag,0.0,1.0
clinical_astra_b02_010,meta-llama/Llama-3.2-1B-Instruct,no_rag,0.0,0.0
clinical_astra_b02_010,microsoft/phi-4,no_rag,0.0,0.0
clinical_astra_b02_011,Qwen/Qwen3.8-27B,no_rag,0.0,1.0
clinical_astra_b02_011,XHToken/Spark-X2.5-4B,no_rag,0.0,0.0
clinical_astra_b02_011,google/gemma-3-27b-it,no_rag,1.0,1.0
clinical_astra_b02_011,google/gemma-4-12B-it,no_rag,1.0,0.0
clinical_astra_b02_011,meta-llama/Llama-3.1-8B-Instruct,no_rag,0.0,0.0
clinical_astra_b02_011,meta-llama/Llama-3.2-1B-Instruct,no_rag,0.0,0.0
clinical_astra_b02_012,Qwen/Qwen3.8-27B,no_rag,1.0,1.0
clinical_astra_b02_012,XHToken/Spark-X2.5-4B,no_rag,1.0,1.0
clinical_astra_b02_012,google/gemma-3-12b-it,no_rag,1.0,1.0
clinical_astra_b02_012,google/gemma-3-27b-it,no_rag,1.0,1.0
clinical_astra_b02_012,google/gemma-4-12B-it,no_rag,1.0,1.0
clinical_astra_b02_012,meta-llama/Llama-3.1-8B-Instruct,no_rag,1.0,1.0
clinical_astra_b02_012,meta-llama/Llama-3.2-1B-Instruct,no_rag,1.0,1.0
clinical_astra_b02_012,microsoft/phi-4,no_rag,1.0,1.0
clinical_astra_b02_013,Qwen/Qwen3.8-27B,no_rag,0.0,1.0
clinical_astra_b02_013,XHToken/Spark-X2.5-4B,no_rag,0.0,0.0
clinical_astra_b02_013,google/gemma-3-12b-it,no_rag,1.0,1.0
clinical_astra_b02_013,google/gemma-3-27b-it,no_rag,1.0,1.0
clinical_astra_b02_013,google/gemma-4-12B-it,no_rag,0.0,0.0
clinical_astra_b02_013,meta-llama/Llama-3.1-8B-Instruct,no_rag,0.0,0.0
clinical_astra_b02_013,meta-llama/Llama-3.2-1B-Instruct,no_rag,0.0,0.0
clinical_astra_b02_013,microsoft/phi-4,no_rag,0.0,0.0
clinical_astra_b02_014,Qwen/Qwen3.8-27B,no_rag,1.0,1.0
clinical_astra_b02_014,google/gemma-3-12b-it,no_rag,1.0,1.0
clinical_astra_b02_014,google/gemma-3-27b-it,no_rag,1.0,1.0
clinical_astra_b02_014,google/gemma-4-12B-it,no_rag,1.0,1.0
clinical_astra_b02_014,meta-llama/Llama-3.2-1B-Instruct,no_rag,0.0,0.0
